Sentence
"If Nate lives in Semolamo, then Nate lives in Vanguard."
"If Tracy lives in Vanguard, then Tracy lives in Calinth."
"If Rita lives in Calinth, then Rita lives in Yenith."
"If Steve lives in Dalabu, then Steve lives in Landsworth."
"If Nate lives in Landsworth, then Nate lives in Sundarim."
"If Tracy lives in Sundarim, then Tracy lives in Ziratha."
"If Mona lives in Shidama, then Mona lives in Harrington."
"If Alice lives in Harrington, then Alice lives in Balandia."
"If Quincy lives in Balandia, then Quincy lives in Yenith."
"If Grace lives in Kaka, then Grace lives in Mireford."
"If Grace lives in Mireford, then Grace lives in Voltria."
"If Rita lives in Voltria, then Rita lives in Xylandia."
"If Tracy lives in Damoteshi, then Tracy lives in Nendora."
"If Quincy lives in Nendora, then Quincy lives in Vekharia."
"If Ivy lives in Vekharia, then Ivy lives in Yenith."
"If Hank lives in Dazu, then Hank lives in Argon."
"If Ivy lives in Argon, then Ivy lives in Voltria."
"If Tracy lives in Voltria, then Tracy lives in Vallora."
"If Grace lives in Sezu, then Grace lives in Talsin."
"If Ivy lives in Talsin, then Ivy lives in Goshan."
"If Quincy lives in Goshan, then Quincy lives in Xylandia."
"If Kara lives in Vate, then Kara lives in Bayshire."
"If Nate lives in Bayshire, then Nate lives in Kandara."
"If Olivia lives in Kandara, then Olivia lives in Xylandia."
"If Charlie lives in Tazu, then Charlie lives in Argon."
"If Bob lives in Voltria, then Bob lives in Ardia."
"If Bob lives in Mata, then Bob lives in Talsin."
"If Steve lives in Talsin, then Steve lives in Meridia."
"If Kara lives in Meridia, then Kara lives in Ziratha."
"If Grace lives in Mani, then Grace lives in Argon."
"If Jack lives in Argon, then Jack lives in Meridia."
"If Charlie lives in Meridia, then Charlie lives in Vallora."
"If Diana lives in Mozubu, then Diana lives in Landsworth."
"If Leo lives in Landsworth, then Leo lives in Vekharia."
"If Bob lives in Vekharia, then Bob lives in Vallora."
"If Frank lives in Nitela, then Frank lives in Harrington."
"If Leo lives in Harrington, then Leo lives in Voltria."
"If Frank lives in Voltria, then Frank lives in Eura."
"If Nate lives in Nivabuni, then Nate lives in Nendora."
"If Bob lives in Nendora, then Bob lives in Kandara."
"If Diana lives in Kekeni, then Diana lives in Vanguard."
"If Steve lives in Vanguard, then Steve lives in Goshan."
"If Kara lives in Goshan, then Kara lives in Ziratha."
"If Kara lives in Lalareda, then Kara lives in Argon."
"If Grace lives in Argon, then Grace lives in Zelphar."
"If Leo lives in Zelphar, then Leo lives in Vallora."
