sentence,class
If Ian lives in Achalpur then Ian lives in Maharashtra,1
If Ian lives in Achalpur then Ian lives in India,1
If Ian lives in Achalpur then Ian lives in Asia,1
If Ian lives in Maharashtra then Ian lives in India,1
If Ian lives in Maharashtra then Ian lives in Asia,1
If Ian lives in India then Ian lives in Asia,1
If Ian lives in Achalpur then Ian lives in Maharashtra and If Ian lives in Achalpur then Ian lives in India,2
If Ian lives in Achalpur then Ian lives in Maharashtra or If Ian lives in Achalpur then Ian lives in India,3
If Ian lives in Achalpur then Ian lives in India and If Ian lives in Maharashtra then Ian lives in India,4
If Ian lives in Achalpur then Ian lives in Asia and If Ian lives in Maharashtra then Ian lives in Asia,4
If Ian lives in Achalpur then Ian lives in India or If Ian lives in Maharashtra then Ian lives in India,5
If Ian lives in Achalpur then Ian lives in Asia or If Ian lives in Maharashtra then Ian lives in Asia,5
If Walter lives in Adawad then Walter lives in Maharashtra,1
If Walter lives in Adawad then Walter lives in India,1
If Walter lives in Adawad then Walter lives in Asia,1
If Walter lives in Maharashtra then Walter lives in India,1
If Walter lives in Maharashtra then Walter lives in Asia,1
If Walter lives in India then Walter lives in Asia,1
If Walter lives in Adawad then Walter lives in Maharashtra and If Walter lives in Adawad then Walter lives in India,2
If Walter lives in Adawad then Walter lives in Maharashtra or If Walter lives in Adawad then Walter lives in India,3
If Walter lives in Adawad then Walter lives in India and If Walter lives in Maharashtra then Walter lives in India,4
If Walter lives in Adawad then Walter lives in Asia and If Walter lives in Maharashtra then Walter lives in Asia,4
If Walter lives in Adawad then Walter lives in India or If Walter lives in Maharashtra then Walter lives in India,5
If Walter lives in Adawad then Walter lives in Asia or If Walter lives in Maharashtra then Walter lives in Asia,5
If Ian lives in Agar Panchaitan then Ian lives in Maharashtra,1
If Ian lives in Agar Panchaitan then Ian lives in India,1
If Ian lives in Agar Panchaitan then Ian lives in Asia,1
If Ian lives in Maharashtra then Ian lives in India,1
If Ian lives in Maharashtra then Ian lives in Asia,1
If Ian lives in India then Ian lives in Asia,1
If Ian lives in Agar Panchaitan then Ian lives in Maharashtra and If Ian lives in Agar Panchaitan then Ian lives in India,2
If Ian lives in Agar Panchaitan then Ian lives in Maharashtra or If Ian lives in Agar Panchaitan then Ian lives in India,3
If Ian lives in Agar Panchaitan then Ian lives in India and If Ian lives in Maharashtra then Ian lives in India,4
If Ian lives in Agar Panchaitan then Ian lives in Asia and If Ian lives in Maharashtra then Ian lives in Asia,4
If Ian lives in Agar Panchaitan then Ian lives in India or If Ian lives in Maharashtra then Ian lives in India,5
If Ian lives in Agar Panchaitan then Ian lives in Asia or If Ian lives in Maharashtra then Ian lives in Asia,5
If Ian lives in Aheri then Ian lives in Maharashtra,1
If Ian lives in Aheri then Ian lives in India,1
If Ian lives in Aheri then Ian lives in Asia,1
If Ian lives in Maharashtra then Ian lives in India,1
If Ian lives in Maharashtra then Ian lives in Asia,1
